zip,claim,inconclusive,no claim,pending,pending (section 8),tbd
10002,1,2,2,0,0,0
10010,0,2,1,0,0,0
10011,0,0,1,0,0,0
10012,0,1,0,0,0,0
10013,0,1,0,0,0,0
10016,0,0,2,0,0,0
10017,2,2,2,0,0,0
10018,0,1,1,0,0,0
10019,1,1,0,0,0,0
10021,0,1,0,1,0,0
10022,0,2,1,0,0,0
10023,0,0,2,0,0,0
10024,0,2,5,0,0,0
10025,1,0,2,0,0,0
10026,0,3,2,0,1,0
10027,0,2,12,0,0,0
10028,1,3,2,0,0,1
10029,1,10,10,0,0,0
10030,0,5,5,0,0,0
10031,0,9,16,0,0,1
10032,0,7,19,0,0,0
10033,1,1,13,0,0,0
10034,1,2,11,0,0,0
10035,1,6,1,0,1,0
10036,0,2,0,0,0,0
10037,0,0,3,0,0,0
10039,0,2,1,0,0,0
10040,1,1,14,0,0,0
10065,0,2,0,0,0,0
10075,1,1,0,0,0,0
10128,1,5,9,0,0,0
10301,1,1,1,0,0,0
10305,0,0,1,0,0,0
10306,0,1,1,0,0,0
10307,1,2,0,0,0,0
10308,0,2,0,0,0,0
10309,0,1,0,0,0,0
10314,0,2,1,0,0,0
10451,0,1,1,0,0,0
10453,0,0,1,0,0,0
10454,0,0,1,0,0,0
10457,0,1,0,0,0,0
10458,0,0,1,0,0,0
10459,0,2,1,0,0,0
10460,0,3,0,0,0,0
10461,0,4,0,0,0,1
10462,1,2,2,0,0,0
10463,2,1,3,0,0,1
10465,0,1,1,0,0,0
10467,1,1,4,0,0,0
10468,0,2,2,0,0,0
10472,0,1,0,0,0,0
10473,0,1,0,0,0,0
11004,1,0,0,0,0,0
11101,0,5,1,0,0,0
11102,1,15,9,1,0,0
11103,6,17,14,0,0,0
11104,1,3,5,0,0,0
11105,3,15,12,1,0,0
11106,3,9,11,0,0,1
11201,1,2,1,0,0,0
11203,1,9,8,0,0,0
11204,1,6,3,1,0,1
11205,0,1,1,0,0,0
11206,0,2,2,0,0,0
11207,0,5,1,0,0,0
11208,0,4,1,0,0,0
11209,5,14,6,0,0,2
11210,4,3,2,0,0,0
11211,0,1,1,1,0,0
11212,3,3,2,0,0,0
11213,1,6,4,0,0,1
11214,2,9,2,0,0,0
11215,1,0,2,1,0,0
11216,2,10,3,0,0,0
11217,1,2,0,0,0,1
11218,2,11,8,0,0,0
11219,0,3,1,0,0,1
11220,2,11,5,1,0,0
11221,1,9,5,0,0,1
11222,0,1,3,0,0,0
11223,3,6,3,0,0,0
11224,0,1,0,0,0,0
11225,1,5,7,0,0,1
11226,0,19,18,0,0,1
11228,1,3,2,0,0,0
11229,4,7,4,1,0,1
11230,2,9,5,0,0,0
11231,0,1,4,0,0,0
11232,4,7,5,0,0,0
11233,0,8,5,0,0,0
11234,1,1,1,0,0,0
11235,2,3,4,1,0,0
11236,2,5,1,0,0,0
11237,2,2,3,0,0,0
11238,1,2,3,0,0,0
11354,3,5,3,0,0,0
11355,3,6,4,3,0,2
11357,0,2,0,0,0,0
11358,3,2,4,0,0,0
11361,1,6,1,0,0,0
11364,1,1,0,0,0,0
11365,1,2,4,0,0,0
11366,0,1,0,0,0,0
11367,0,1,1,0,0,1
11368,1,3,1,0,0,0
11369,0,1,1,0,0,0
11370,0,3,2,0,0,0
11372,0,7,3,0,0,1
11373,3,3,6,0,0,1
11374,6,9,1,1,0,0
11375,5,17,2,1,0,0
11377,2,15,8,2,0,0
11378,3,3,3,0,0,0
11379,0,3,1,0,0,0
11385,6,10,5,1,0,0
11415,0,3,1,0,0,0
11417,0,0,1,0,0,0
11418,0,0,1,0,0,0
11419,1,4,0,0,0,0
11421,0,0,1,1,0,0
11422,0,1,0,0,0,0
11423,0,0,1,0,0,1
11427,0,1,0,0,0,0
11432,0,6,4,0,0,0
11433,1,0,0,0,0,0
11434,1,2,0,0,0,0
11435,1,5,0,0,0,0
11436,0,1,0,0,0,0
11691,1,0,1,0,0,0
11693,1,0,0,0,0,0
11694,0,0,2,0,0,0