zip,Inconclusive,No Claim,Pending,TBD
10001,1,1,0,0
10002,1,4,1,0
10003,1,0,0,0
10009,0,1,1,0
10010,2,0,0,0
10011,2,0,0,0
10012,3,0,0,0
10013,1,0,0,0
10016,2,2,0,0
10017,3,1,0,0
10018,1,0,0,0
10021,3,2,0,0
10022,0,0,0,1
10023,6,3,0,0
10024,10,2,0,0
10025,5,3,0,0
10026,4,3,0,0
10027,6,7,0,3
10028,7,7,0,0
10029,13,12,2,0
10030,10,5,0,2
10031,8,3,2,0
10032,11,11,2,1
10033,22,7,0,0
10034,3,3,0,0
10035,4,4,0,0
10036,0,2,0,0
10037,1,6,1,0
10039,2,1,0,0
10040,7,8,1,1
10065,0,1,0,0
10075,5,4,0,0
10128,8,11,0,3
10301,0,2,0,0
10304,0,1,0,0
10305,1,0,0,0
10307,0,1,0,0
10312,1,1,0,0
10314,0,0,1,0
10451,1,3,1,0
10453,1,2,0,0
10454,1,3,0,0
10455,2,0,0,1
10456,0,0,0,1
10457,1,0,0,0
10458,2,1,0,0
10460,1,0,0,0
10461,2,2,0,0
10462,2,1,0,0
10463,6,5,0,3
10465,2,2,1,0
10466,2,0,0,0
10467,2,2,0,1
10468,1,0,0,0
10469,1,0,0,0
10470,1,1,0,0
10471,5,1,0,1
10472,1,0,0,0
10473,1,1,0,0
10704,0,1,0,0
10705,0,1,0,0
11101,3,0,0,1
11102,12,4,1,1
11103,20,14,1,2
11104,10,1,1,0
11105,17,7,0,1
11106,17,11,2,0
11201,2,6,0,0
11203,1,4,0,0
11204,7,4,3,0
11205,4,0,0,0
11206,10,2,2,2
11207,2,3,0,0
11208,3,4,3,0
11209,26,8,2,6
11210,5,3,1,0
11211,2,1,0,0
11212,4,1,0,0
11213,10,3,0,0
11214,15,8,5,2
11215,5,2,0,0
11216,12,7,1,1
11217,5,3,0,0
11218,11,5,0,3
11219,8,2,0,0
11220,13,7,0,2
11221,12,8,1,0
11222,2,2,0,0
11223,6,6,1,0
11224,3,2,0,0
11225,6,6,0,0
11226,41,27,0,1
11228,3,0,0,0
11229,3,6,2,5
11230,6,6,1,0
11231,1,1,0,0
11232,1,1,0,1
11233,10,3,1,0
11234,0,3,1,0
11235,7,2,2,0
11236,8,1,5,0
11237,4,2,1,0
11238,10,4,0,0
11354,9,5,1,2
11355,12,3,0,0
11356,1,1,0,0
11358,4,2,0,0
11360,1,0,1,0
11361,3,2,0,0
11363,0,1,0,0
11364,1,0,0,0
11365,3,0,0,0
11367,1,0,1,2
11368,1,0,1,0
11370,3,1,0,0
11372,9,5,4,1
11373,3,7,1,0
11374,14,4,3,2
11375,14,4,2,3
11377,6,6,0,1
11378,2,4,0,0
11379,8,2,0,0
11385,6,10,2,1
11414,2,1,0,0
11415,6,4,0,0
11416,0,1,1,0
11418,1,1,1,1
11420,1,0,0,0
11421,3,1,0,0
11423,2,0,0,0
11426,1,0,0,1
11427,0,1,0,0
11428,0,1,0,0
11432,12,5,1,0
11434,1,0,0,1
11435,6,3,2,2
11691,0,2,0,1
11692,0,2,0,0
11694,2,1,1,0